model,domain_id,question_id,run_number,codex,claude,deepseek
gemma-4-12b-it-q8_0-llamacpp-a6000,1,533,3,1.8,2.25,1.8
gemma-4-31b-it,1,533,1,4.0,4.45,5.0
gemma-4-31b-it,1,533,2,3.8,4.55,4.1
gemma-4-31b-it,1,533,3,4.0,4.3,4.3
glm-5.1,1,533,1,4.3,4.55,4.8
glm-5.1,1,533,2,4.3,4.8,4.8
glm-5.1,1,533,3,4.1,4.55,4.8
hermes-3-llama-3.1-405b,1,533,1,4.3,4.3,4.75
hermes-3-llama-3.1-405b,1,533,2,4.3,4.5,4.3
hermes-3-llama-3.1-405b,1,533,3,3.75,4.3,4.3
llada2.1-flash,1,533,1,3.8,4.3,4.25
llada2.1-flash,1,533,2,3.55,3.3,4.55
llada2.1-flash,1,533,3,3.55,3.55,3.8
llama-3.3-70b-instruct,1,533,1,3.75,4.05,4.3
llama-3.3-70b-instruct,1,533,2,4.0,4.3,4.3
llama-3.3-70b-instruct,1,533,3,4.3,4.3,3.55
llama4-maverick-17b-128e-moe,1,533,1,4.3,4.5,4.3
llama4-maverick-17b-128e-moe,1,533,2,4.3,4.5,4.0
llama4-maverick-17b-128e-moe,1,533,3,3.2,4.3,4.0
mistral-medium-3.5,1,533,1,4.1,4.1,4.1
mistral-medium-3.5,1,533,2,4.0,4.3,4.55
mistral-medium-3.5,1,533,3,4.3,4.3,4.3
qwen3.5-122b-a10b,1,533,1,4.1,3.85,3.8
qwen3.5-122b-a10b,1,533,2,4.3,4.3,4.8
qwen3.5-122b-a10b,1,533,3,4.0,4.55,4.55
qwen3.5-397b-a17b-moe,1,533,1,4.55,4.3,4.3
qwen3.5-397b-a17b-moe,1,533,2,4.3,4.55,4.55
qwen3.5-397b-a17b-moe,1,533,3,4.55,4.3,4.8
qwen3.5-9b,1,533,1,2.8,3.25,3.8
qwen3.5-9b,1,533,2,3.55,3.05,3.8
qwen3.5-9b,1,533,3,2.8,2.45,2.75
qwen3.6-27b-fp8,1,533,1,3.8,4.8,4.8
qwen3.6-27b-fp8,1,533,2,3.8,4.25,4.05
qwen3.6-27b-fp8,1,533,3,4.1,4.8,4.55
qwen3.6-35b-a3b-q8_0,1,533,1,3.8,3.35,3.8
qwen3.6-35b-a3b-q8_0,1,533,2,3.35,4.1,3.8
qwen3.6-35b-a3b-q8_0,1,533,3,3.8,4.1,4.25
command-a-03-2025,1,534,1,3.55,4.3,3.8
command-a-03-2025,1,534,2,3.55,4.0,4.0
command-a-03-2025,1,534,3,4.0,4.5,4.25
deepseek-v4-flash,1,534,1,3.8,4.55,4.55
deepseek-v4-flash,1,534,2,4.1,4.8,3.8
deepseek-v4-flash,1,534,3,3.8,4.1,3.8
gemma-4-12b-it-q8_0-llamacpp-a6000,1,534,1,2.75,3.0,3.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,534,2,3.55,3.8,3.8
gemma-4-12b-it-q8_0-llamacpp-a6000,1,534,3,3.55,3.55,3.3
gemma-4-31b-it,1,534,1,4.0,4.45,4.5
gemma-4-31b-it,1,534,2,3.55,4.0,4.0
gemma-4-31b-it,1,534,3,3.75,4.55,4.0
glm-5.1,1,534,1,3.8,3.8,3.8
glm-5.1,1,534,2,3.55,4.55,4.0
glm-5.1,1,534,3,3.8,4.8,3.8
hermes-3-llama-3.1-405b,1,534,1,4.3,3.75,4.0
hermes-3-llama-3.1-405b,1,534,2,4.0,4.0,4.0
hermes-3-llama-3.1-405b,1,534,3,3.95,3.95,4.5
llada2.1-flash,1,534,1,3.3,3.1,4.1
llada2.1-flash,1,534,2,2.55,3.3,3.5
llada2.1-flash,1,534,3,3.55,3.8,3.8
llama-3.3-70b-instruct,1,534,1,3.95,4.75,5.0
llama-3.3-70b-instruct,1,534,2,4.5,4.0,4.2
llama-3.3-70b-instruct,1,534,3,3.25,2.95,3.2
llama4-maverick-17b-128e-moe,1,534,1,3.75,3.75,4.0
llama4-maverick-17b-128e-moe,1,534,2,3.5,4.0,4.0
llama4-maverick-17b-128e-moe,1,534,3,3.55,3.55,3.8
mistral-medium-3.5,1,534,1,3.8,3.7,4.25
mistral-medium-3.5,1,534,2,3.8,4.55,4.3
mistral-medium-3.5,1,534,3,4.1,4.3,4.3
qwen3.5-122b-a10b,1,534,1,4.3,4.1,4.8
qwen3.5-122b-a10b,1,534,2,4.3,4.3,4.55
qwen3.5-122b-a10b,1,534,3,3.8,4.3,4.25
qwen3.5-397b-a17b-moe,1,534,1,4.3,4.55,4.55
qwen3.5-397b-a17b-moe,1,534,2,4.55,4.8,4.25
qwen3.5-397b-a17b-moe,1,534,3,3.8,4.55,4.55
qwen3.5-9b,1,534,1,3.1,3.8,3.8
qwen3.5-9b,1,534,2,3.55,3.8,3.8
qwen3.5-9b,1,534,3,3.55,3.8,3.8
qwen3.6-27b-fp8,1,534,1,3.85,4.1,3.8
qwen3.6-27b-fp8,1,534,2,3.8,4.3,4.0
qwen3.6-27b-fp8,1,534,3,4.1,4.1,4.3
qwen3.6-35b-a3b-q8_0,1,534,1,4.3,4.55,4.25
qwen3.6-35b-a3b-q8_0,1,534,2,3.55,3.5,3.8
qwen3.6-35b-a3b-q8_0,1,534,3,4.3,4.3,4.55
command-a-03-2025,1,535,1,4.3,4.3,4.5
command-a-03-2025,1,535,2,3.75,2.7,3.7
command-a-03-2025,1,535,3,4.3,4.3,4.55
deepseek-v4-flash,1,535,1,4.8,4.8,4.8
deepseek-v4-flash,1,535,2,4.8,4.8,4.8
deepseek-v4-flash,1,535,3,4.8,4.8,4.8
gemma-4-12b-it-q8_0-llamacpp-a6000,1,535,1,2.85,3.55,2.55
gemma-4-12b-it-q8_0-llamacpp-a6000,1,535,2,3.55,2.7,3.55
gemma-4-12b-it-q8_0-llamacpp-a6000,1,535,3,3.3,2.75,3.8
gemma-4-31b-it,1,535,1,5.0,4.75,5.0
gemma-4-31b-it,1,535,2,4.8,4.55,5.0
gemma-4-31b-it,1,535,3,4.8,4.75,5.0
glm-5.1,1,535,1,4.8,4.8,4.8
glm-5.1,1,535,2,4.55,4.35,4.1
glm-5.1,1,535,3,4.8,5.0,4.8
hermes-3-llama-3.1-405b,1,535,1,4.5,4.3,4.75
hermes-3-llama-3.1-405b,1,535,2,4.3,4.3,4.75
hermes-3-llama-3.1-405b,1,535,3,4.3,4.0,4.5
llada2.1-flash,1,535,1,3.8,3.0,4.1
llada2.1-flash,1,535,2,3.8,3.0,3.8
llada2.1-flash,1,535,3,3.8,3.0,4.55
llama-3.3-70b-instruct,1,535,1,4.3,4.3,4.3
llama-3.3-70b-instruct,1,535,2,4.3,4.55,4.5
llama-3.3-70b-instruct,1,535,3,4.55,4.3,4.3
llama4-maverick-17b-128e-moe,1,535,1,4.55,4.3,4.75
llama4-maverick-17b-128e-moe,1,535,2,4.55,4.55,4.75
llama4-maverick-17b-128e-moe,1,535,3,4.3,4.5,4.3
mistral-medium-3.5,1,535,1,4.55,4.8,4.55
mistral-medium-3.5,1,535,2,4.55,4.55,4.3
mistral-medium-3.5,1,535,3,4.1,4.55,4.1
qwen3.5-122b-a10b,1,535,1,4.8,5.0,5.0
qwen3.5-122b-a10b,1,535,2,4.35,4.35,4.35
qwen3.5-122b-a10b,1,535,3,4.55,4.8,4.8
qwen3.5-397b-a17b-moe,1,535,1,4.1,4.55,4.55
qwen3.5-397b-a17b-moe,1,535,2,4.8,5.0,4.8
qwen3.5-397b-a17b-moe,1,535,3,4.35,4.55,4.1
qwen3.5-9b,1,535,1,3.55,3.25,3.25
qwen3.5-9b,1,535,2,3.35,4.55,4.55
qwen3.5-9b,1,535,3,3.8,3.8,4.1
qwen3.6-27b-fp8,1,535,1,4.35,4.8,4.55
qwen3.6-27b-fp8,1,535,2,4.1,4.35,4.1
qwen3.6-27b-fp8,1,535,3,4.35,4.35,4.35
qwen3.6-35b-a3b-q8_0,1,535,1,4.55,4.55,4.55
qwen3.6-35b-a3b-q8_0,1,535,2,4.1,4.55,4.8
qwen3.6-35b-a3b-q8_0,1,535,3,4.1,4.55,4.1
command-a-03-2025,1,536,1,4.0,4.3,5.0
command-a-03-2025,1,536,2,4.0,4.3,4.3
command-a-03-2025,1,536,3,4.3,4.55,4.3
deepseek-v4-flash,1,536,1,4.55,5.0,4.55
deepseek-v4-flash,1,536,2,4.1,4.1,4.1
deepseek-v4-flash,1,536,3,4.1,4.8,4.55
gemma-4-12b-it-q8_0-llamacpp-a6000,1,536,1,2.0,2.25,1.8
gemma-4-12b-it-q8_0-llamacpp-a6000,1,536,2,3.0,2.25,2.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,536,3,2.8,2.0,2.25
gemma-4-31b-it,1,536,1,5.0,4.45,4.5
gemma-4-31b-it,1,536,2,4.0,3.7,4.0
gemma-4-31b-it,1,536,3,3.75,3.25,4.0
glm-5.1,1,536,1,4.55,5.0,4.55
glm-5.1,1,536,2,4.55,5.0,4.3
glm-5.1,1,536,3,4.35,4.35,4.55
hermes-3-llama-3.1-405b,1,536,1,4.5,4.5,4.3
hermes-3-llama-3.1-405b,1,536,2,4.2,4.3,3.0
hermes-3-llama-3.1-405b,1,536,3,4.2,4.5,4.0
llada2.1-flash,1,536,1,2.8,3.1,3.55
llada2.1-flash,1,536,2,2.8,2.8,3.5
llada2.1-flash,1,536,3,3.1,2.85,2.8
llama-3.3-70b-instruct,1,536,1,4.0,4.0,4.3
llama-3.3-70b-instruct,1,536,2,4.0,4.5,4.3
llama-3.3-70b-instruct,1,536,3,3.75,4.3,3.75
llama4-maverick-17b-128e-moe,1,536,1,4.0,4.3,4.3
llama4-maverick-17b-128e-moe,1,536,2,4.3,4.3,4.5
llama4-maverick-17b-128e-moe,1,536,3,3.75,4.3,4.0
mistral-medium-3.5,1,536,1,4.8,5.0,4.8
mistral-medium-3.5,1,536,2,4.55,4.8,4.3
mistral-medium-3.5,1,536,3,4.3,5.0,4.3
qwen3.5-122b-a10b,1,536,1,4.1,4.8,4.25
qwen3.5-122b-a10b,1,536,2,4.55,5.0,4.8
qwen3.5-122b-a10b,1,536,3,4.55,4.55,3.8
qwen3.5-397b-a17b-moe,1,536,1,4.8,4.8,4.3
qwen3.5-397b-a17b-moe,1,536,2,4.05,5.0,4.3
qwen3.5-397b-a17b-moe,1,536,3,4.55,5.0,4.55
qwen3.5-9b,1,536,1,3.55,3.5,3.8
qwen3.5-9b,1,536,2,4.3,4.55,4.3
qwen3.5-9b,1,536,3,4.3,4.55,4.3
qwen3.6-27b-fp8,1,536,1,4.55,4.8,4.3
qwen3.6-27b-fp8,1,536,2,4.3,4.0,4.3
qwen3.6-27b-fp8,1,536,3,4.55,4.35,4.05
qwen3.6-35b-a3b-q8_0,1,536,1,4.1,4.8,4.3
qwen3.6-35b-a3b-q8_0,1,536,2,3.55,4.0,3.8
qwen3.6-35b-a3b-q8_0,1,536,3,4.1,3.8,3.8
command-a-03-2025,1,537,1,4.5,4.5,4.75
command-a-03-2025,1,537,2,4.5,4.5,5.0
command-a-03-2025,1,537,3,3.95,4.5,5.0
deepseek-v4-flash,1,537,1,4.75,4.75,5.0
deepseek-v4-flash,1,537,2,4.55,5.0,5.0
deepseek-v4-flash,1,537,3,4.0,4.55,4.8
gemma-4-12b-it-q8_0-llamacpp-a6000,1,537,1,2.85,3.1,1.8
gemma-4-12b-it-q8_0-llamacpp-a6000,1,537,2,3.05,4.3,4.3
gemma-4-12b-it-q8_0-llamacpp-a6000,1,537,3,3.75,4.5,4.5
gemma-4-31b-it,1,537,1,3.75,3.75,4.0
gemma-4-31b-it,1,537,2,3.75,3.75,4.0
gemma-4-31b-it,1,537,3,3.75,4.2,4.2
glm-5.1,1,537,1,4.25,4.75,4.55
glm-5.1,1,537,2,4.55,4.0,5.0
glm-5.1,1,537,3,4.8,4.8,4.55
hermes-3-llama-3.1-405b,1,537,1,4.2,4.5,4.5
hermes-3-llama-3.1-405b,1,537,2,3.75,4.3,4.75
hermes-3-llama-3.1-405b,1,537,3,3.95,4.5,4.3
llada2.1-flash,1,537,1,3.3,3.5,3.55
llada2.1-flash,1,537,2,3.75,3.8,4.3
llada2.1-flash,1,537,3,3.3,3.8,4.3
llama-3.3-70b-instruct,1,537,1,3.95,3.75,3.75
llama-3.3-70b-instruct,1,537,2,2.95,4.0,4.0
llama-3.3-70b-instruct,1,537,3,3.75,3.45,4.0
llama4-maverick-17b-128e-moe,1,537,1,4.0,4.0,4.0
llama4-maverick-17b-128e-moe,1,537,2,4.2,4.5,4.0
llama4-maverick-17b-128e-moe,1,537,3,3.75,3.75,4.0
mistral-medium-3.5,1,537,1,4.0,4.8,5.0
mistral-medium-3.5,1,537,2,4.0,4.55,4.8
mistral-medium-3.5,1,537,3,4.55,4.55,4.5
qwen3.5-122b-a10b,1,537,1,4.55,4.55,4.55
qwen3.5-122b-a10b,1,537,2,4.0,4.25,4.8
qwen3.5-122b-a10b,1,537,3,4.0,4.0,4.3
qwen3.5-397b-a17b-moe,1,537,1,4.25,4.8,4.55
qwen3.5-397b-a17b-moe,1,537,2,4.55,4.55,4.3
qwen3.5-397b-a17b-moe,1,537,3,4.0,4.55,4.55
qwen3.5-9b,1,537,1,2.8,3.0,3.8
qwen3.5-9b,1,537,2,2.8,3.25,3.25
qwen3.5-9b,1,537,3,4.55,4.1,4.55
qwen3.6-27b-fp8,1,537,1,4.0,4.5,4.55
qwen3.6-27b-fp8,1,537,2,4.0,4.8,4.55
qwen3.6-27b-fp8,1,537,3,3.8,3.8,4.3
qwen3.6-35b-a3b-q8_0,1,537,1,4.0,4.0,4.0
qwen3.6-35b-a3b-q8_0,1,537,2,3.8,3.8,3.8
qwen3.6-35b-a3b-q8_0,1,537,3,3.55,3.75,4.0
command-a-03-2025,1,538,1,4.1,4.5,4.2
command-a-03-2025,1,538,2,4.5,4.5,4.5
command-a-03-2025,1,538,3,4.5,4.7,4.5
deepseek-v4-flash,1,538,1,3.8,4.5,5.0
deepseek-v4-flash,1,538,2,3.6,4.6,4.6
deepseek-v4-flash,1,538,3,4.3,4.5,4.2
gemma-4-12b-it-q8_0-llamacpp-a6000,1,538,1,4.2,4.5,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,538,2,2.6,2.5,3.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,538,3,3.5,4.1,3.7
gemma-4-31b-it,1,538,1,4.1,4.5,4.5
gemma-4-31b-it,1,538,2,4.1,4.5,4.2
gemma-4-31b-it,1,538,3,3.1,4.5,4.2
glm-5.1,1,538,1,3.8,4.5,5.0
glm-5.1,1,538,2,4.1,4.5,4.2
glm-5.1,1,538,3,4.7,4.7,4.5
hermes-3-llama-3.1-405b,1,538,1,3.2,3.0,3.2
hermes-3-llama-3.1-405b,1,538,2,2.4,2.6,2.5
hermes-3-llama-3.1-405b,1,538,3,3.8,4.3,3.5
llada2.1-flash,1,538,1,2.6,2.5,3.5
llada2.1-flash,1,538,2,2.6,3.0,3.1
llada2.1-flash,1,538,3,2.6,2.9,3.5
llama-3.3-70b-instruct,1,538,1,4.0,4.3,4.0
llama-3.3-70b-instruct,1,538,2,4.5,4.5,3.5
llama-3.3-70b-instruct,1,538,3,4.3,4.3,3.3
llama4-maverick-17b-128e-moe,1,538,1,4.2,4.3,4.2
llama4-maverick-17b-128e-moe,1,538,2,4.5,4.5,4.0
llama4-maverick-17b-128e-moe,1,538,3,4.2,4.5,3.8
mistral-medium-3.5,1,538,1,3.8,3.7,4.0
mistral-medium-3.5,1,538,2,4.2,4.5,4.2
mistral-medium-3.5,1,538,3,4.5,4.5,4.3
qwen3.5-122b-a10b,1,538,1,3.8,4.8,4.0
qwen3.5-122b-a10b,1,538,2,3.5,5.0,4.2
qwen3.5-122b-a10b,1,538,3,3.6,4.5,4.2
qwen3.5-397b-a17b-moe,1,538,1,3.8,4.2,4.5
qwen3.5-397b-a17b-moe,1,538,2,4.3,4.2,4.5
qwen3.5-397b-a17b-moe,1,538,3,3.8,4.5,4.2
qwen3.5-9b,1,538,1,3.1,3.6,3.8
qwen3.5-9b,1,538,2,2.8,2.9,3.2
qwen3.5-9b,1,538,3,3.1,3.6,3.8
qwen3.6-27b-fp8,1,538,1,4.1,4.5,4.5
qwen3.6-27b-fp8,1,538,2,3.8,4.0,4.0
qwen3.6-27b-fp8,1,538,3,3.8,4.3,4.2
qwen3.6-35b-a3b-q8_0,1,538,1,2.6,2.7,2.8
qwen3.6-35b-a3b-q8_0,1,538,2,3.1,2.7,3.5
qwen3.6-35b-a3b-q8_0,1,538,3,3.1,4.0,4.0
command-a-03-2025,1,539,1,2.9,2.4,2.9
command-a-03-2025,1,539,2,2.2,2.2,2.8
command-a-03-2025,1,539,3,3.2,2.7,2.2
deepseek-v4-flash,1,539,1,3.8,4.4,4.2
deepseek-v4-flash,1,539,2,2.5,3.7,4.0
deepseek-v4-flash,1,539,3,3.8,4.2,4.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,539,1,3.4,3.2,3.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,539,2,3.0,3.0,3.2
gemma-4-12b-it-q8_0-llamacpp-a6000,1,539,3,2.8,3.2,3.2
gemma-4-31b-it,1,539,1,4.0,4.0,3.2
gemma-4-31b-it,1,539,2,3.5,4.0,4.0
gemma-4-31b-it,1,539,3,3.2,4.0,4.0
glm-5.1,1,539,1,2.9,2.8,4.0
glm-5.1,1,539,2,3.1,4.0,4.0
glm-5.1,1,539,3,2.8,3.2,3.4
hermes-3-llama-3.1-405b,1,539,1,4.3,4.0,4.0
hermes-3-llama-3.1-405b,1,539,2,3.7,3.4,2.2
hermes-3-llama-3.1-405b,1,539,3,3.7,3.4,3.4
llada2.1-flash,1,539,1,3.0,3.5,4.0
llada2.1-flash,1,539,2,3.1,3.5,3.5
llada2.1-flash,1,539,3,3.0,3.5,4.0
llama-3.3-70b-instruct,1,539,1,3.2,3.7,3.2
llama-3.3-70b-instruct,1,539,2,3.4,2.4,3.0
llama-3.3-70b-instruct,1,539,3,3.7,2.7,3.5
llama4-maverick-17b-128e-moe,1,539,1,3.0,3.0,3.0
llama4-maverick-17b-128e-moe,1,539,2,3.4,2.7,3.0
llama4-maverick-17b-128e-moe,1,539,3,2.7,2.9,2.0
mistral-medium-3.5,1,539,1,3.2,3.2,4.0
mistral-medium-3.5,1,539,2,3.4,3.2,4.0
mistral-medium-3.5,1,539,3,3.5,3.2,3.8
qwen3.5-122b-a10b,1,539,1,2.5,2.7,3.2
qwen3.5-122b-a10b,1,539,2,2.3,3.0,4.0
qwen3.5-122b-a10b,1,539,3,3.5,4.0,3.8
qwen3.5-397b-a17b-moe,1,539,1,3.8,3.7,3.5
qwen3.5-397b-a17b-moe,1,539,2,4.0,4.2,4.2
qwen3.5-397b-a17b-moe,1,539,3,3.8,4.0,4.0
qwen3.5-9b,1,539,1,2.0,3.2,2.0
qwen3.5-9b,1,539,2,2.8,3.2,4.0
qwen3.5-9b,1,539,3,3.2,3.5,4.0
qwen3.6-27b-fp8,1,539,1,3.5,4.0,4.0
qwen3.6-27b-fp8,1,539,2,3.5,4.2,4.0
qwen3.6-27b-fp8,1,539,3,2.9,3.7,4.2
qwen3.6-35b-a3b-q8_0,1,539,1,3.2,4.0,4.0
qwen3.6-35b-a3b-q8_0,1,539,2,3.2,3.2,4.0
qwen3.6-35b-a3b-q8_0,1,539,3,2.8,3.5,3.2
command-a-03-2025,1,540,1,3.5,3.4,4.0
command-a-03-2025,1,540,2,3.7,3.3,4.3
command-a-03-2025,1,540,3,2.9,2.7,2.2
deepseek-v4-flash,1,540,1,3.8,3.8,4.0
deepseek-v4-flash,1,540,2,3.6,5.0,4.0
deepseek-v4-flash,1,540,3,4.3,5.0,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,540,1,3.5,3.8,4.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,540,2,1.7,2.2,1.4
gemma-4-12b-it-q8_0-llamacpp-a6000,1,540,3,2.2,1.9,1.7
gemma-4-31b-it,1,540,1,4.1,4.3,4.2
gemma-4-31b-it,1,540,2,4.5,4.5,4.5
gemma-4-31b-it,1,540,3,4.5,5.0,4.8
glm-5.1,1,540,1,4.3,4.8,5.0
glm-5.1,1,540,2,4.3,4.5,5.0
glm-5.1,1,540,3,4.5,4.8,5.0
hermes-3-llama-3.1-405b,1,540,1,2.0,2.0,1.7
hermes-3-llama-3.1-405b,1,540,2,1.7,1.9,2.0
hermes-3-llama-3.1-405b,1,540,3,3.5,3.7,3.7
llada2.1-flash,1,540,1,2.7,3.5,2.8
llada2.1-flash,1,540,2,2.8,3.0,2.8
llada2.1-flash,1,540,3,3.1,2.3,2.2
llama-3.3-70b-instruct,1,540,1,3.5,2.7,2.0
llama-3.3-70b-instruct,1,540,2,2.7,2.5,2.2
llama-3.3-70b-instruct,1,540,3,3.0,2.4,2.7
llama4-maverick-17b-128e-moe,1,540,1,3.5,2.9,2.2
llama4-maverick-17b-128e-moe,1,540,2,3.7,3.5,2.5
llama4-maverick-17b-128e-moe,1,540,3,3.5,2.7,2.5
mistral-medium-3.5,1,540,1,4.5,5.0,4.5
mistral-medium-3.5,1,540,2,4.3,3.5,3.8
mistral-medium-3.5,1,540,3,3.7,3.5,4.2
qwen3.5-122b-a10b,1,540,1,4.6,5.0,5.0
qwen3.5-122b-a10b,1,540,2,4.1,4.6,4.0
qwen3.5-122b-a10b,1,540,3,4.3,4.8,5.0
qwen3.5-397b-a17b-moe,1,540,1,3.8,4.8,4.5
qwen3.5-397b-a17b-moe,1,540,2,3.8,4.6,4.8
qwen3.5-397b-a17b-moe,1,540,3,4.1,4.6,4.8
qwen3.5-9b,1,540,1,2.9,3.3,2.6
qwen3.5-9b,1,540,2,2.9,2.2,2.6
qwen3.5-9b,1,540,3,3.3,4.3,4.0
qwen3.6-27b-fp8,1,540,1,3.8,3.8,3.8
qwen3.6-27b-fp8,1,540,2,3.6,4.0,4.3
qwen3.6-27b-fp8,1,540,3,3.6,3.8,4.0
qwen3.6-35b-a3b-q8_0,1,540,1,3.1,3.8,3.8
qwen3.6-35b-a3b-q8_0,1,540,2,3.2,3.5,3.8
qwen3.6-35b-a3b-q8_0,1,540,3,3.3,3.5,4.2
command-a-03-2025,1,541,1,2.2,2.2,3.0
command-a-03-2025,1,541,2,3.3,3.3,2.8
command-a-03-2025,1,541,3,3.5,3.5,4.0
deepseek-v4-flash,1,541,1,3.5,3.8,3.7
deepseek-v4-flash,1,541,2,4.0,3.8,4.0
deepseek-v4-flash,1,541,3,3.5,4.0,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,541,1,2.4,2.4,2.5
gemma-4-12b-it-q8_0-llamacpp-a6000,1,541,2,2.3,2.4,2.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,541,3,2.2,2.2,2.0
gemma-4-31b-it,1,541,1,3.8,3.8,4.0
gemma-4-31b-it,1,541,2,3.7,4.0,4.0
gemma-4-31b-it,1,541,3,3.2,3.8,3.2
glm-5.1,1,541,1,3.7,4.5,4.0
glm-5.1,1,541,2,3.5,4.8,5.0
glm-5.1,1,541,3,4.5,4.2,4.2
hermes-3-llama-3.1-405b,1,541,1,2.2,2.5,2.0
hermes-3-llama-3.1-405b,1,541,2,3.2,2.5,2.2
hermes-3-llama-3.1-405b,1,541,3,2.2,2.4,1.7
llada2.1-flash,1,541,1,2.2,2.2,2.7
llada2.1-flash,1,541,2,2.2,2.0,2.5
llada2.1-flash,1,541,3,3.2,2.0,3.2
llama-3.3-70b-instruct,1,541,1,2.7,2.2,3.2
llama-3.3-70b-instruct,1,541,2,2.5,2.0,2.3
llama-3.3-70b-instruct,1,541,3,3.2,2.7,2.8
llama4-maverick-17b-128e-moe,1,541,1,2.5,2.5,2.2
llama4-maverick-17b-128e-moe,1,541,2,2.2,2.0,2.0
llama4-maverick-17b-128e-moe,1,541,3,3.4,2.9,2.5
mistral-medium-3.5,1,541,1,3.5,3.7,4.0
mistral-medium-3.5,1,541,2,4.0,3.5,4.0
mistral-medium-3.5,1,541,3,3.4,2.4,3.2
qwen3.5-122b-a10b,1,541,1,4.0,4.2,4.0
qwen3.5-122b-a10b,1,541,2,3.3,4.0,4.0
qwen3.5-122b-a10b,1,541,3,3.3,3.5,4.0
qwen3.5-397b-a17b-moe,1,541,1,4.3,4.0,5.0
qwen3.5-397b-a17b-moe,1,541,2,3.3,3.3,4.0
qwen3.5-397b-a17b-moe,1,541,3,4.0,3.8,4.0
qwen3.5-9b,1,541,1,2.1,2.3,2.3
qwen3.5-9b,1,541,2,1.5,1.8,1.6
qwen3.5-9b,1,541,3,3.3,3.5,4.0
qwen3.6-27b-fp8,1,541,1,3.0,2.9,4.2
qwen3.6-27b-fp8,1,541,2,3.3,3.5,4.0
qwen3.6-27b-fp8,1,541,3,3.0,3.0,4.0
qwen3.6-35b-a3b-q8_0,1,541,1,3.0,3.0,4.0
qwen3.6-35b-a3b-q8_0,1,541,2,3.3,3.2,4.0
qwen3.6-35b-a3b-q8_0,1,541,3,2.4,3.5,4.0
command-a-03-2025,1,542,1,3.2,3.5,3.5
command-a-03-2025,1,542,2,3.0,3.2,3.5
command-a-03-2025,1,542,3,3.0,3.2,3.2
deepseek-v4-flash,1,542,1,3.5,4.2,4.2
deepseek-v4-flash,1,542,2,3.8,4.0,4.8
deepseek-v4-flash,1,542,3,4.2,5.0,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,542,1,2.8,3.5,4.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,542,2,2.6,3.3,2.8
gemma-4-12b-it-q8_0-llamacpp-a6000,1,542,3,2.8,3.5,2.8
gemma-4-31b-it,1,542,1,3.2,4.0,4.3
gemma-4-31b-it,1,542,2,3.2,3.2,3.5
gemma-4-31b-it,1,542,3,2.8,3.8,3.5
glm-5.1,1,542,1,2.8,3.8,4.5
glm-5.1,1,542,2,3.8,4.2,4.3
glm-5.1,1,542,3,3.8,3.8,4.0
hermes-3-llama-3.1-405b,1,542,1,2.8,3.2,2.2
hermes-3-llama-3.1-405b,1,542,2,3.2,3.7,3.7
hermes-3-llama-3.1-405b,1,542,3,3.4,3.5,3.0
llada2.1-flash,1,542,1,2.7,3.5,3.0
llada2.1-flash,1,542,2,2.6,3.0,3.8
llada2.1-flash,1,542,3,2.8,3.2,3.2
llama-3.3-70b-instruct,1,542,1,3.5,3.7,4.2
llama-3.3-70b-instruct,1,542,2,2.8,3.2,3.0
llama-3.3-70b-instruct,1,542,3,3.0,2.4,3.0
llama4-maverick-17b-128e-moe,1,542,1,3.7,3.2,3.5
llama4-maverick-17b-128e-moe,1,542,2,3.4,3.2,3.2
llama4-maverick-17b-128e-moe,1,542,3,3.4,3.4,3.2
mistral-medium-3.5,1,542,1,3.5,4.2,4.2
mistral-medium-3.5,1,542,2,2.7,3.5,3.5
mistral-medium-3.5,1,542,3,3.2,3.7,3.8
qwen3.5-122b-a10b,1,542,1,2.8,4.0,4.0
qwen3.5-122b-a10b,1,542,2,3.2,3.5,4.0
qwen3.5-122b-a10b,1,542,3,3.1,3.8,4.0
qwen3.5-397b-a17b-moe,1,542,1,3.8,4.0,4.0
qwen3.5-397b-a17b-moe,1,542,2,3.6,3.8,4.2
qwen3.5-397b-a17b-moe,1,542,3,3.6,3.8,3.8
qwen3.5-9b,1,542,1,2.8,3.5,4.2
qwen3.5-9b,1,542,2,2.8,3.5,3.8
qwen3.5-9b,1,542,3,3.2,3.2,4.0
qwen3.6-27b-fp8,1,542,1,2.8,3.5,3.8
qwen3.6-27b-fp8,1,542,2,3.6,4.0,4.2
qwen3.6-27b-fp8,1,542,3,3.2,3.5,4.5
qwen3.6-35b-a3b-q8_0,1,542,1,3.6,3.8,3.8
qwen3.6-35b-a3b-q8_0,1,542,2,2.8,3.5,3.8
